0
0
0
0
0
0
0
4,0
9,3,2
9,3,6
9,3,9
9,3,7
9,3,9
9,3,9
9,4,0
9,3,8
9,3,8
9,4,0
9,4,1
9,3,9
9,4,2
9,4,1
9,4,1
9,4,2
9,4,0
9,4,1
9,4,1
9,4,3
9,4,2
9,4,2
9,4,4
9,4,2
9,4,3
9,4,2
9,4,3
9,4,4
9,4,2
9,4,1
9,4,3
9,4,2
9,4,4
9,4,3
9,4,1
9,4,2
9,4,2
9,4,3
9,4,4
9,4,2
9,4,2
9,4,2
9,4,2
9,4,5
9,4,3
9,4,4
9,4,4
9,4,3
9,4,4
9,4,2
9,4,4
9,4,4
9,4,2
9,4,4
9,4,4
9,4,3
9,4,5
9,4,3
9,4,4
9,4,2
9,4,3
9,4,4
9,4,3
9,4,4
9,4,5
9,4,5
9,4,5
9,4,4
9,4,4
9,4,5
9,4,6
9,4,4
9,4,4
9,4,3
9,4,4
9,4,4
9,4,5
9,4,5
9,4,5
9,4,3
9,4,4
9,4,4
9,4,5
9,4,4
9,4,5
9,4,4
9,4,5
9,4,5
9,4,4
9,4,4
9,4,5
9,4,3
9,4,6
9,4,4
9,4,4
9,4,4
9,4,4
9,4,4
9,4,5
9,4,4
9,4,3
9,4,5
9,4,5
9,4,2
9,4,4
9,4,4
9,4,5
9,4,3
9,4,3
9,4,4
9,4,3
9,4,4
9,4,5
9,4,3
9,4,3
9,4,5
9,4,4
9,4,4
9,4,5
9,4,5
9,4,3
9,4,4
9,4,5
9,4,4
9,4,4
9,4,4
9,4,3
9,4,4
9,4,4
9,4,5
9,4,4
9,4,5
9,4,4
9,4,4
9,4,5
9,4,4
9,4,3
9,4,5
9,4,4
9,4,5
9,4,4
9,4,4
9,4,4
9,4,2
9,4,5
9,4,5
9,4,5
9,4,4
9,4,4
9,4,5
9,4,4
9,4,5
9,4,5
9,4,4
9,4,4
9,4,6
9,4,5
9,4,4
9,4,4
9,4,6
9,4,4
9,4,4
9,4,5
9,4,5
9,4,4
9,4,6
9,4,5
9,4,6
9,4,5
9,4,4
9,4,4
9,4,6
9,4,4
9,4,7
9,4,7
9,4,4
9,4,5
9,4,5
9,4,7
9,4,4
9,4,4
9,4,5
9,4,4
9,4,5
9,4,5
9,4,5
9,4,5
9,4,3
9,4,4
9,4,6
9,4,5
9,4,5
9,4,4
9,4,5
9,4,4
9,4,3
9,4,5
9,4,4
9,4,5
9,4,4
9,4,5
9,4,6
9,4,6
9,4,5
9,4,4
9,4,4
9,4,5
9,4,4
9,4,4
9,4,5
9,4,6
9,4,5
9,4,6
9,4,4
9,4,5
9,4,6
9,4,5
9,4,4
9,4,6
9,4,7
9,4,6
9,4,5
9,4,4
9,4,4
9,4,5
9,4,4
9,4,5
9,4,5
9,4,7
9,4,6
9,4,5
9,4,7
9,4,7
9,4,4
9,4,3
9,4,5
9,4,7
9,4,4
9,4,4
9,4,6
9,4,6
9,4,4
9,4,7
9,4,4
9,4,4
9,4,5
9,4,5
9,4,6
9,4,5
9,4,6
9,4,6
9,4,5
9,4,5
9,4,4
9,4,3
9,4,7
9,4,4
9,4,4
9,4,4
9,4,6
9,4,5
9,4,6
9,4,6
9,4,5
9,4,4
9,4,5
9,4,6
9,4,6
9,4,6
9,4,5
9,4,6
9,4,5
9,4,5
9,4,5
9,4,6
9,4,7
9,4,8
9,4,5
9,4,5
9,4,6
9,4,4
9,4,6
9,4,5
9,4,6
9,4,6
9,4,4
9,4,6
9,4,5
9,4,6
9,4,6
9,4,7
9,4,5
9,4,8
9,4,7
9,4,4
9,4,6
9,4,5
9,4,4
9,4,6
9,4,5
9,4,5
9,4,5
9,4,7
9,4,4
9,4,5
9,4,4
9,4,5
9,4,4
9,4,7
9,4,4
9,4,5
9,4,5
9,4,5
9,4,7
9,4,5
9,4,4
9,4,6
9,4,7
9,4,7
9,4,4
9,4,5
9,4,6
9,4,7
9,4,4
9,4,5
9,4,7
9,4,7
9,4,4
9,4,7
9,4,4
9,4,5
9,4,5
9,4,5
9,4,7
9,4,6
9,4,5
9,4,5
9,4,6
9,4,6
9,4,4
9,4,7
9,4,5
9,4,7
9,4,6
9,4,5
9,4,5
9,4,5
9,4,4
9,4,4
9,4,4
9,4,5
9,4,7
9,4,7
9,4,5
9,4,4
9,4,5
9,4,5
9,4,5
9,4,6
9,4,6
9,4,7
9,4,5
9,4,7
9,4,5
9,4,5
9,4,7
9,4,5
9,4,6
9,4,6
9,4,5
9,4,5
9,4,6
9,4,7
9,4,6
9,4,5
9,4,6
9,4,4
9,4,6
9,4,4
9,4,7
9,4,4
9,4,5
9,4,7
9,4,5
9,4,5
9,4,6
9,4,6
9,4,7
9,4,5
9,4,4
9,4,4
9,4,5
9,4,4
9,4,5
9,4,5
9,4,4
9,4,7
9,4,6
9,4,4
9,4,4
